transaction_id,amount,hour,distance_from_home_km,merchant_risk_score,transactions_last_24h,card_present,international,online_transaction,fraud
TXN000001,36.77,9.0,0.02,0.659,3.0,1,0,1,0
TXN000002,9.58,4.0,13.08,0.781,4.0,1,0,0,0
TXN000003,57.42,2.0,71.74,0.761,1.0,0,0,0,0
TXN000004,69.45,10.0,11.55,0.316,5.0,1,0,1,1
TXN000005,3.85,12.0,1.32,0.205,5.0,0,0,1,0
TXN000006,7.37,4.0,6.23,0.454,2.0,1,0,0,0
TXN000007,30.81,1.0,3.66,0.547,6.0,1,0,0,0
TXN000008,19.76,3.0,23.27,0.919,7.0,0,0,0,0
TXN000009,26.66,15.0,6.9,0.875,1.0,1,0,0,0
TXN000010,11.55,20.0,18.7,0.916,1.0,1,0,1,0
TXN000011,65.33,4.0,9.96,0.85,5.0,1,0,1,0
TXN000012,59.02,7.0,18.58,0.965,2.0,1,0,0,0
TXN000013,28.96,8.0,17.24,0.465,0.0,1,0,0,0
TXN000014,83.7,8.0,39.6,0.047,0.0,1,0,0,0
TXN000015,43.27,5.0,6.63,0.084,3.0,1,0,0,0
TXN000016,11.48,1.0,7.67,0.39,6.0,1,0,0,0
TXN000017,39.2,12.0,11.66,0.258,2.0,1,0,0,0
TXN000018,10.39,8.0,13.36,0.17,1.0,1,0,1,0
TXN000019,65.26,8.0,4.17,0.953,6.0,1,0,0,0
TXN000020,25.79,6.0,14.46,0.195,4.0,0,0,1,0
TXN000021,22.54,22.0,24.0,0.959,2.0,1,1,0,0
TXN000022,13.72,14.0,5.41,0.761,2.0,1,0,1,0
TXN000023,92.07,10.0,38.7,0.641,3.0,1,1,1,1
TXN000024,23.23,4.0,32.11,0.676,3.0,0,1,0,0
TXN000025,17.67,19.0,29.73,0.331,2.0,0,0,0,0
TXN000026,,21.0,25.09,0.646,4.0,0,0,1,0
TXN000027,46.17,0.0,19.19,0.187,4.0,0,0,0,0
TXN000028,39.07,22.0,11.94,0.938,3.0,1,1,0,0
TXN000029,40.97,16.0,19.8,0.302,5.0,0,0,0,0
TXN000030,41.71,2.0,34.58,0.255,4.0,1,0,1,1
TXN000031,230.82,18.0,10.26,0.711,3.0,0,1,0,0
TXN000032,18.06,2.0,3.29,0.656,2.0,0,0,0,1
TXN000033,16.24,1.0,56.66,0.451,2.0,0,1,0,0
TXN000034,12.02,2.0,46.78,0.632,0.0,1,0,1,0
TXN000035,50.2,11.0,8.09,0.159,2.0,0,0,0,0
TXN000036,83.85,14.0,9.01,0.673,3.0,1,0,1,0
TXN000037,24.19,9.0,28.29,0.271,1.0,1,0,1,0
TXN000038,11.7,2.0,10.56,0.273,1.0,1,0,0,0
TXN000039,11.89,4.0,10.89,0.162,4.0,1,0,0,0
TXN000040,51.97,20.0,14.22,0.332,3.0,1,0,1,0
TXN000041,57.01,23.0,4.89,0.331,1.0,1,0,1,0
TXN000042,46.67,18.0,14.97,0.454,3.0,1,0,0,0
TXN000043,13.94,2.0,4.4,0.19,3.0,1,0,0,0
TXN000044,34.2,19.0,8.04,0.193,0.0,1,0,0,0
TXN000045,30.47,16.0,6.21,0.542,6.0,1,0,0,0
TXN000046,33.74,12.0,1.46,0.129,1.0,0,0,0,0
TXN000047,64.81,3.0,37.78,0.689,3.0,1,0,0,0
TXN000048,33.91,23.0,7.2,0.944,2.0,0,0,0,0
TXN000049,53.46,10.0,6.65,0.427,3.0,1,0,1,0
TXN000050,29.01,1.0,118.87,0.901,3.0,1,0,1,0
TXN000051,36.2,5.0,16.28,0.098,3.0,1,1,1,0
TXN000052,50.97,9.0,0.98,0.043,5.0,1,0,1,1
TXN000053,6.31,1.0,10.24,0.721,3.0,1,0,1,0
TXN000054,19.69,7.0,7.57,0.761,5.0,1,0,0,0
TXN000055,16.94,11.0,11.84,0.843,2.0,1,1,1,0
TXN000056,14.31,22.0,3.79,0.057,3.0,1,0,0,0
TXN000057,20.59,2.0,3.44,0.777,3.0,1,0,0,0
TXN000058,120.9,13.0,1.74,0.377,2.0,1,1,1,0
TXN000059,11.41,21.0,23.28,0.303,5.0,0,1,1,0
TXN000060,71.4,19.0,0.53,0.173,1.0,1,0,0,0
TXN000061,5.04,22.0,27.89,0.996,3.0,1,0,1,0
TXN000062,19.4,4.0,3.17,0.064,1.0,1,0,0,0
TXN000063,31.9,19.0,26.14,0.827,6.0,1,0,0,0
TXN000064,48.73,23.0,23.18,0.639,4.0,1,0,0,0
TXN000065,55.21,7.0,19.98,0.735,1.0,1,0,0,0
TXN000066,59.94,11.0,0.71,0.712,3.0,1,0,1,0
TXN000067,19.13,12.0,7.9,0.858,0.0,1,0,0,0
TXN000068,17.08,11.0,19.24,0.184,0.0,1,0,0,0
TXN000069,63.94,6.0,0.38,0.001,3.0,1,0,1,0
TXN000070,22.39,23.0,6.84,0.599,4.0,1,0,0,0
TXN000071,7.57,22.0,9.29,0.354,1.0,0,1,0,0
TXN000072,8.73,9.0,37.84,0.124,5.0,1,0,0,0
TXN000073,10.81,19.0,4.82,0.186,3.0,1,0,0,0
TXN000074,44.57,9.0,3.97,0.332,4.0,1,0,0,0
TXN000075,31.26,19.0,61.55,0.07,4.0,0,0,1,0
TXN000076,54.08,14.0,8.23,0.057,3.0,0,0,1,0
TXN000077,17.69,11.0,8.27,0.916,1.0,0,0,0,0
TXN000078,31.77,3.0,25.95,0.312,2.0,1,0,0,0
TXN000079,50.68,15.0,22.12,0.982,8.0,1,0,0,0
TXN000080,19.9,7.0,10.46,0.964,3.0,0,0,1,0
TXN000081,42.81,5.0,17.37,0.143,3.0,1,0,0,0
TXN000082,13.99,4.0,7.33,0.715,6.0,0,0,0,0
TXN000083,18.86,23.0,21.5,0.601,2.0,1,0,1,0
TXN000084,18.51,2.0,2.72,0.691,5.0,1,0,1,0
TXN000085,8.2,19.0,2.72,0.096,1.0,1,1,0,0
TXN000086,44.12,20.0,7.93,0.189,3.0,1,0,0,0
TXN000087,16.96,0.0,0.32,0.077,4.0,0,0,0,0
TXN000088,27.45,14.0,4.71,0.604,3.0,1,0,1,0
TXN000089,43.85,13.0,13.37,0.987,2.0,1,0,0,0
TXN000090,42.37,8.0,7.68,0.672,2.0,1,1,0,0
TXN000091,52.74,16.0,2.66,0.711,2.0,0,0,1,0
TXN000092,24.57,9.0,112.3,0.985,1.0,1,0,0,0
TXN000093,17.76,10.0,35.29,0.678,0.0,0,0,0,0
TXN000094,25.04,10.0,5.4,0.04,1.0,0,0,1,0
TXN000095,5.02,19.0,33.12,0.867,4.0,1,0,0,1
TXN000096,6.38,15.0,46.35,0.365,3.0,0,0,1,0
TXN000097,7.22,9.0,25.05,0.004,2.0,0,0,1,0
TXN000098,10.0,22.0,1.02,0.507,3.0,1,0,0,0
TXN000099,40.44,19.0,15.03,0.937,3.0,1,0,1,0
TXN000100,10.96,22.0,13.27,0.257,5.0,1,0,1,0
TXN000101,18.58,17.0,13.8,0.492,1.0,1,1,1,0
TXN000102,99.41,9.0,2.15,0.174,0.0,1,0,1,0
TXN000103,18.99,18.0,22.62,0.058,2.0,0,0,0,0
TXN000104,56.69,7.0,38.43,0.081,1.0,1,0,0,0
TXN000105,10.66,6.0,1.56,0.727,3.0,1,0,1,0
TXN000106,22.08,10.0,5.7,0.864,5.0,1,0,0,0
TXN000107,10.49,23.0,0.21,0.143,5.0,1,1,0,1
TXN000108,19.32,13.0,31.3,0.288,4.0,1,0,0,0
TXN000109,62.82,9.0,86.6,0.195,4.0,1,1,0,1
TXN000110,4.82,11.0,0.36,0.027,1.0,1,0,1,0
TXN000111,41.86,6.0,41.17,0.553,1.0,1,0,1,0
TXN000112,34.39,15.0,10.6,0.7,2.0,1,0,1,0
TXN000113,14.97,8.0,52.08,0.648,4.0,0,1,0,0
TXN000114,6.38,13.0,67.68,0.388,3.0,1,0,0,0
TXN000115,29.14,8.0,29.18,0.555,3.0,1,1,1,0
TXN000116,15.97,7.0,2.42,0.094,1.0,1,0,0,0
TXN000117,34.22,23.0,14.37,0.154,4.0,0,0,1,0
TXN000118,27.71,8.0,3.4,0.932,5.0,1,0,1,0
TXN000119,134.53,1.0,85.17,0.762,0.0,1,0,0,0
TXN000120,21.34,9.0,11.54,0.923,2.0,1,0,0,0
TXN000121,9.74,12.0,4.56,0.917,3.0,1,0,1,0
TXN000122,32.44,2.0,6.42,0.649,0.0,1,0,0,0
TXN000123,33.78,7.0,60.72,0.928,3.0,1,0,1,0
TXN000124,105.55,3.0,2.07,0.417,2.0,1,0,1,0
TXN000125,62.5,12.0,23.63,0.004,5.0,0,0,0,0
TXN000126,38.74,17.0,39.81,0.063,5.0,1,0,1,0
TXN000127,117.13,23.0,9.35,0.109,3.0,0,0,0,0
TXN000128,8.26,9.0,19.67,0.095,3.0,1,0,0,0
TXN000129,14.3,20.0,14.64,0.352,1.0,1,0,1,0
TXN000130,10.73,5.0,11.0,0.701,1.0,1,0,1,0
TXN000131,18.36,18.0,9.23,0.791,1.0,1,0,1,0
TXN000132,6.84,13.0,1.26,0.59,7.0,1,0,1,0
TXN000133,51.17,18.0,6.13,0.146,3.0,0,0,0,0
TXN000134,21.71,18.0,3.5,0.748,0.0,1,0,0,0
TXN000135,6.23,12.0,10.91,0.355,3.0,1,0,0,0
TXN000136,9.82,6.0,25.26,0.013,4.0,1,0,0,0
TXN000137,37.1,12.0,4.91,0.281,1.0,1,0,0,0
TXN000138,62.69,19.0,5.95,0.331,5.0,1,0,0,0
TXN000139,199.68,23.0,7.07,0.274,5.0,1,0,1,0
TXN000140,499.63,22.0,28.2,0.812,0.0,1,0,0,0
TXN000141,41.03,4.0,35.89,,3.0,1,1,1,0
TXN000142,10.08,14.0,2.69,0.696,4.0,1,0,1,0
TXN000143,3.22,2.0,42.09,0.139,2.0,1,0,1,0
TXN000144,35.44,16.0,27.65,0.808,6.0,1,0,0,0
TXN000145,12.03,23.0,1.73,0.677,2.0,1,0,1,0
TXN000146,17.9,1.0,19.91,0.195,1.0,0,0,1,0
TXN000147,14.7,15.0,16.12,0.648,3.0,0,0,0,0
TXN000148,23.55,22.0,13.39,0.484,2.0,1,0,0,0
TXN000149,78.73,20.0,1.46,0.439,3.0,1,0,0,0
TXN000150,31.72,9.0,18.79,0.112,3.0,0,0,1,0
TXN000151,23.14,2.0,14.0,0.518,3.0,1,0,1,0
TXN000152,9.62,22.0,5.65,0.1,3.0,1,0,0,0
TXN000153,5.08,22.0,10.71,0.164,3.0,1,0,1,0
TXN000154,16.67,13.0,26.45,0.133,3.0,1,0,0,0
TXN000155,25.69,23.0,0.85,0.954,4.0,0,0,0,0
TXN000156,158.85,0.0,9.85,0.285,3.0,0,0,1,0
TXN000157,30.89,14.0,33.1,0.355,3.0,0,0,1,0
TXN000158,72.44,0.0,10.09,0.322,4.0,0,0,1,0
TXN000159,16.46,22.0,35.25,0.898,3.0,1,0,0,0
TXN000160,8.29,16.0,3.22,0.563,3.0,0,0,0,0
TXN000161,10.33,21.0,26.56,0.919,5.0,1,0,0,0
TXN000162,13.13,13.0,49.99,0.3,4.0,1,0,0,0
TXN000163,227.8,1.0,2.75,0.115,2.0,1,1,0,0
TXN000164,11.92,0.0,31.74,0.556,4.0,1,0,1,0
TXN000165,62.71,8.0,5.45,0.346,5.0,1,0,1,0
TXN000166,10.99,17.0,2.2,0.802,3.0,1,0,0,0
TXN000167,68.83,3.0,1.86,0.879,3.0,1,0,0,0
TXN000168,39.84,20.0,9.35,0.473,5.0,1,0,0,0
TXN000169,23.18,5.0,0.26,0.971,3.0,1,0,0,0
TXN000170,26.03,11.0,5.07,0.553,1.0,1,1,1,0
TXN000171,14.09,4.0,9.4,0.271,8.0,1,0,0,0
TXN000172,42.35,11.0,10.55,0.489,3.0,1,1,1,1
TXN000173,17.2,10.0,4.17,0.037,2.0,0,0,0,0
TXN000174,7.96,0.0,6.89,0.804,2.0,1,0,0,0
TXN000175,7.55,13.0,3.63,0.101,2.0,1,0,1,0
TXN000176,32.22,18.0,5.02,0.309,1.0,1,0,0,0
TXN000177,131.51,22.0,21.56,0.565,2.0,0,0,0,0
TXN000178,31.82,7.0,9.63,0.043,2.0,1,0,1,0
TXN000179,24.08,21.0,24.58,0.079,4.0,1,0,0,0
TXN000180,36.08,21.0,4.98,0.696,4.0,1,0,0,0
TXN000181,100.08,23.0,0.49,0.072,2.0,0,0,0,0
TXN000182,33.76,8.0,13.88,0.477,2.0,0,0,0,0
TXN000183,17.98,20.0,22.64,0.339,2.0,1,0,0,0
TXN000184,81.96,13.0,1.8,0.228,4.0,1,0,0,0
TXN000185,41.63,1.0,20.37,0.189,2.0,1,0,1,0
